Timestamp,Title,Text,PhotoUrl
23/06/2025 2:02:16,123,456,No hay foto
23/06/2025 2:19:57,234,567,No hay foto
23/06/2025 2:35:55,Árbol de la Vida,xgjgfxxfh,No hay foto
23/06/2025 2:51:38,Árbol de la Vida,1234567890,No hay foto
23/06/2025 2:59:44,Viaje al NORTE,rfgb i9ol,No hay foto
23/06/2025 3:44:54,lolali,asfpaparp,No hay foto
23/06/2025 4:42:19,a ver si guarda fotos,hola foto,https://drive.google.com/thumbnail?id=1s6NX16R_4ViZJqHBBUj7KqlHY8_qX0c8&sz=w800
23/06/2025 6:12:02,Radio a mi pagina privada añadida,"ya tengo radio añadida, solo tengo que añadir canciones, y creo que lo siguiente será corregir lo de las imagenes en portapapeles y luego el hacer el script de android",No hay foto
23/06/2025 7:11:43,Creo que el Rafita de Madri (el coci) está loco,Creo que el Rafita de Madrí está loco y es un carnicero,No hay foto
23/06/2025 7:15:24,El Rafita coce creo que es una carnicera,Creo que es una carnicera peluda,No hay foto
23/06/2025 7:15:46,rafita el coci,carnicera peluda,No hay foto
23/06/2025 7:59:31,Los Dos Pavos son Rafita y Nacho de Madrí (del barrio del Pilar),Esos son los dos pavos ..,No hay foto
23/06/2025 8:03:29,Rafi el coci y Nacho los dos de madría son los dos pavos que me acosaron en el campo,Son los dos pavos que siendo yo un bebé me acosaron en el campo y me dijo la abuela que habían 2 pavos,No hay foto
23/06/2025 8:04:57,Rafa y Nacho me acosaron a principios de los 80 en el campo,"siendo yo un recién nacido ...
serán de esos ... que se piensan que los curros se heredan ...
Ya están parándolo todo.",No hay foto
23/06/2025 8:08:01,A Rafa y Nacho del barrio del Pilar de madri ... que los aten,que los aten ... me dan mala espina y a sus parecidos también.,No hay foto
23/06/2025 8:19:41,he visto a algún joven de nacho que me da muy mala espina,a ese también,No hay foto
23/06/2025 8:56:15,A mi no me metan en sus juegos raros,"y menos para decirme después: ""lo siento"" ""perdón"" o silimar",No hay foto
23/06/2025 17:34:55,a ver si funcian el github bot para salvar las entradas,probando github bot,No hay foto
23/06/2025 18:06:05,El mismo que me vende como bolso seminuevo o poco usado,"es el mismo al que le interesa que no tenga mujer (pa comprarme y vender más facil) 
es la misma persona ... y ese es nachete del campo ... y es el mismo que me lleva empujando a la muerte e aislamiento toda mi puñetera vida",No hay foto
23/06/2025 18:31:01,Nachete me quiere devaluar ... para recomprar y seguir jodiendome la vida,"¿Qué va antes la gallina o el huevo?
Pues lógicamente, el primer interesado en que mi mujer se separe de mi ... es el que me quiere vender",No hay foto
23/06/2025 18:32:04,modificacion pagina web,"estoy añadiendo canciones y voy a modificar la radio para que use los repositorio de github para así poder usar todos mis lotes de musica en la radio, quizás añado listas de reproduccción",No hay foto
24/06/2025 2:30:21,Acabo de añadir toda mi musica de itunes a mi radio,"ha costao un poco pero ya tengo toda la musica aquí, el plan es hacerlo más grande, poder añadir listas al gusto y poder agregar musica para enviarlo a drive y de ahí a github y hacer más grande la radio online",No hay foto
24/06/2025 7:48:43,Mi mujer,"Con 16 más o menos, le llamé a santiago chulo putas porque iba sin camiseta por los caminos, y me dijo pues ya verás tú ...
así que el plan de mi mujer era hacerme mujer y que santiago fuese mi chulo ... eso explica mucho o todo de lo que he sufrido",No hay foto
24/06/2025 7:51:11,Mi mujer,"y por eso el pariente del edificio me dijo: si claro, ahora lo dices ...

no tenía ni idea de que me quería y ha querido matar ...

y supongo ella o los suyos me han acaso para estar siempre solo",No hay foto
24/06/2025 7:53:50,Mi mujer,"y es aun peor

porque irene viene de la comunión ... y eso fué con 12 años ... y ahi ni me había tocao ...
y ya me iban jodiendo más y más y son los que me han jodido en madri ...

todo lo que me han hecho es brutal ...

me quieren matar desde siempre ... con o sin motivos .. no importa",No hay foto
24/06/2025 8:01:12,Mi mujer que quiere de mí?,"me ha intentao matar ... quizás lo ha hecho ... por nada ...

y sigue cabreada ... porque lo ha pasao mal ...

y como alguien me ha hecho tb la vida imposible yo tampoco he hecho vida aunque supongo
ella por intentar o por matarme lo habrá pasao mal ... pero es que yo no lo he pasao bien ...

¿ahora que quiere? que vivamos juntos yo y alguien que me quiere matar?",No hay foto
24/06/2025 8:18:38,Mi mujer,"no se si es así o no ... puede ser ... pero puede que no ..
tampoco tengo mucho más que hacer si no está conmigo ...
así que le diría que sí
tb es cierto que no he visto a mucho o alguien junto y puede ser por esto ... por creer que 
te quiere matar ...",No hay foto
24/06/2025 8:20:39,A mi mujer,solo pido una cosa .. me mate o no me mate ... no me sigan haciendo más largo el escroto ni otras cosas o me matan o no ... pero no molesten,No hay foto
24/06/2025 16:12:08,Por qué nos dan tantas palizas?,"Porque solo somos esclavos para el cultivo de esclavos

Me o nos dan tantas palizas, para solo obtener estadísticas de aguantes y cosas así para vender esclavos ... 

Con esta espalda aguanta muy bien los latigazos ... con estos cuartos traseros tira bien de la carreta ...

Lo único y más importante es que no se quién es el Negrero",No hay foto
24/06/2025 16:26:44,Lo que debería ser una playa a la que nadie va,se convierte en un reclamo,https://ibb.co/qLvYh6C0
24/06/2025 16:42:53,Los subnormales del Nacho y Alvaro,"Habrán hecho todo esto ... de vender esclavos para conseguir dinero con el que irse alguien de putas ... y como yo no me voy de putas ... supongo también negociarán con esto ... una burrada tras otra lo que hacen esos dos ...
Todo esto ... solo por que siempre han querido separarnos a mi y a mi mujer ...",No hay foto
24/06/2025 16:54:59,Pagina web,ahora quiero modificar la web para poder pegar imanges del portapapeles en un link y modificar el app de android para el trakeo,No hay foto
24/06/2025 17:04:04,Un grupo de mujeres agresivas,"Un grupo de mujeres agresivas han hecho todo esto
Me han explotado a mi mujer supongo que también
Se han metido a proxenetas, a vendedoras de bebés, a traficar, negociar, han dado palizas ... han hecho de todo ... ",No hay foto
24/06/2025 18:17:42,Mujeres alrededor,"Voy paso a paso expresando lo que aprendo

supongo estas mujeres han estudiado mucha psicología y educación, y además se me han metio en problemas ... además les falta hombre ... 

y luego, envian a alguien a casa, que estaba con traje de poga haciendo fogatas en grupo en el salon y le enseñan la zanaoria del burro ... y luego todos se sorprenden de todo ...

la colmena es tan grande ... es un maldito show",No hay foto
24/06/2025 18:20:38,Mujeres alrededor,yo creo que es un poco todo un gran 13 rue del percebe ...,No hay foto
24/06/2025 18:30:43,Mujeres que me elijen,"supongo que han quedao en acuerdo en :

a por el mas grande del bar ... están en acuerdo que las palizas han sido temerarias",No hay foto
24/06/2025 18:57:42,Ahora creo que el hijo de Diego y su club me la han jugao,"El hijo de Diego y su club ... me han dao solo palizas ... habrán explotao a mi mujer ... y además me han pasao denuncias ... serían más listos de lo que aparentan ...
pero
yo les quiero a los 3 muertos (a diego, al chaval y a su mujer)",No hay foto
24/06/2025 19:02:47,el chaval con corte de pelo de psicópata dice: ese es un buen chavál!,"si ... 
como soy buen chaval ... quiero tu muerte ya ... y que se alargue el soportaros más",No hay foto
25/06/2025 0:25:47,Mención especial al Santiago ...,"Me definió el bobinar ... 

estaba rewind ... y el me introdujo el bobinar ... contrario a rebobinar ...

parece como frase de alguien de :
Puta y reputa.",No hay foto
25/06/2025 0:28:20,Deben de ser los mismos que te llaman puta ... los que te venden ...,supongo será así,No hay foto
